file_name,name_gui,name_short,name_src,est_rt60,meas_rt60,fade_start,low_rt60,folder,version,gdrive_link,gain,f_crossover,order_crossover,noise_reduce,source_hrtf_dataset,source_hrtf_id,description,notes,source_dataset,citation,citation_link,high_fc,mid_fc,low_fc
reverberation_dataset_broadcast_studio_b,Broadcast Studio B,Bc-Studio-B,broadcast_studio_b,1250,1241,1200,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1Kg2jPItoaB5D-Yg8OQLVprqvTtjQcw68/view?usp=drive_link,-2.8,100,9,No,max,1,WDR Broadcast Studios,Derived from rooms SBS and LBS,A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios,"Stade, Bernschützand Rühl, ‘A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios’. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3930833.",,No,No,No
reverberation_dataset_concert_hall_a,Concert Hall A,Concert-Hall-A,concert_hall_a,1900,1599,0,No,est_bin,1.0.5,https://drive.google.com/file/d/1yNPY74_zjXXT14tvauNWD-0sP8Fwk_bt/view?usp=drive_link,-3.3,110,8,No,max,1,Main auditorium of the Finnish National Opera and Ballet (FNOB),"a modern-shaped horseshoe opera hall located in Helsinki, Finland",OperaRIR dataset ,"Benoit Alary and Archontis Politis, ‘OperaRIR’. Zenodo, Jul. 07, 2023. doi: 10.5281/zenodo.8096639.",https://doi.org/10.5281/zenodo.8096639,Yes,No,No
reverberation_dataset_conference_room_a,Conference Room,Conference-Rm,conference_room_a,500,467,560,Yes,est_bin,1.0.3,https://drive.google.com/file/d/1mDVTmq6EN5I8QPqoKINSUOEY2lSBYbwY/view?usp=drive_link,-3.9,120,9,No,max,0,Small conference room,,"Eigenmike-DRIRs, KEMAR 45BA-BRIRs, RIRs and 360° pictures captured at five positions of a small conference room","A. Neidhardt, C. Schneiderwind, F. Kleinand S. Fichna, ‘Dataset: Eigenmike-DRIRs, KEMAR 45BA-BRIRs, RIRs and 360° pictures captured at five positions of a small conference room’. Zenodo, Apr. 07, 2019. doi: 10.5281/zenodo.2593714.",https://doi.org/10.5281/zenodo.2593714,Yes,No,No
reverberation_dataset_control_room_a,Control Room,Control-Rm,control_room_a,300,260,400,Yes,est_bin,1.0.3,https://drive.google.com/file/d/1hd6HsWxIQYVJEZTz6CPnlI9AD7lIh0ao/view?usp=drive_link,-3.1,120,9,No,max,0,Studio Control Room at WDR Broadcast Studios,Derived from rooms CR1 and CR7,A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios,"Stade, Bernschützand Rühl, ‘A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios’. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3930833.",,Yes,No,No
reverberation_dataset_hall_a,Hall A,Hall-A,hall_a,1800,1418,0,No,est_bin,1.0.5,https://drive.google.com/file/d/1lMYrN5BYmQCtmTyvRmbFPeSy-WS_2Mon/view?usp=drive_link,-4.1,115,9,No,max,1,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,Yes,No
reverberation_dataset_large_room_a,Large Room A,Large-Rm-A,large_room_a,800,624,0,Yes,est_bin,1.0.0,https://drive.google.com/file/d/1hAAFnhbajagytyKWi3TD7nKpHGspHVGv/view?usp=drive_link,-2.3,105,9,No,max,0,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
reverberation_dataset_large_room_b,Large Room B,Large-Rm-B,large_room_b,800,576,0,Yes,est_bin,1.0.0,https://drive.google.com/file/d/1EvMCZsoZM9kkNZu_oredo_FNUMPZkpUh/view?usp=drive_link,-2.3,105,9,No,max,1,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
reverberation_dataset_lecture_room_a,Lecture Room,Lecture-Rm,lecture_room_a,750,704,800,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1nRT3ZW19xvL4idYMpX-LvpO3pwt6Sfat/view?usp=drive_link,-3,100,9,No,max,0,Lecture room from the ACE corpus ,,ACE Challenge database,"James Eaton, Nikolay D. Gaubitch, Alastair H. Mooreand Patrick A. Naylor, ‘Data Corpus for the IEEE-AASP Challenge on the Acoustic Characterization of Environments (ACE)’. Zenodo, Mar. 02, 2015. doi: 10.5281/zenodo.6257551.",http://www.ee.ic.ac.uk/naylor/ACEweb/,No,No,No
reverberation_dataset_listening_room_a,Listening Room A,Listening-Rm-A,listening_room_a,300,221,500,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1XvjFZmk7tYv17mmm0vVoq72kzrspGFid/view?usp=drive_link,-2.3,100,9,Yes,max,1,ITU-R BS.1116 conform listening room,,A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations,"L. Treybig, F. Klein, G. Stolzand S. Werner, ‘A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations’. Zenodo, Jan. 02, 2024. doi: 10.5281/zenodo.10450779.",https://doi.org/10.5281/zenodo.10450779,Yes,No,No
reverberation_dataset_listening_room_b,Listening Room B,Listening-Rm-B,listening_room_b,400,379,500,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1goAkP7oLMJ4xiLr7BxK6qOya00kvpGw5/view?usp=drive_link,-2.3,105,9,Yes,max,1,ITU-R BS.1116 conform listening room,,A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations,"L. Treybig, F. Klein, G. Stolzand S. Werner, ‘A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations’. Zenodo, Jan. 02, 2024. doi: 10.5281/zenodo.10450779.",https://doi.org/10.5281/zenodo.10450779,Yes,No,No
