id,file_name,label,name_gui,short_code,name_short,collection_1,collection_2,collection_3,meas_rt60,fade_start,low_rt60,f_crossover,order_crossover,version,folder,gdrive_link,alternative_link,ghub_link,description,notes,source_dataset,citation,citation_link,name_short_original,name_src_original
AS-135,AS-135,"Seminar Room, BRAS","Seminar Room, BRAS - AS-135",Seminar-Rm,Seminar-Rm-AS-135,Research Datasets,,,1464,0,Yes,0,9,1.0.0,datasets,,,,Small seminar room at Aachen University ,,Benchmark for Room Acoustical Simulation (BRAS) ,"Aspöck, L., Vorländer, M., Brinkmann, F., Ackermann, D., & Weinzierl, S. (2020).
Benchmark for Room Acoustical Simulation (BRAS): Documentation of the database.
RWTH Aachen University, Institute of Technical Acoustics; TU Berlin, Audio Communication Group. ",https://doi.org/10.14279/depositonce-6726.3,,
AS-136,AS-136,"Chamber Music Hall, BRAS ","Chamber Music Hall, BRAS  - AS-136",Chamber-Hall,Chamber-Hall-AS-136,Research Datasets,,,1285,0,Yes,0,9,1.0.0,datasets,,,,Small hall of the Konzerthaus Berlin ,,Benchmark for Room Acoustical Simulation (BRAS) ,"Aspöck, L., Vorländer, M., Brinkmann, F., Ackermann, D., & Weinzierl, S. (2020).
Benchmark for Room Acoustical Simulation (BRAS): Documentation of the database.
RWTH Aachen University, Institute of Technical Acoustics; TU Berlin, Audio Communication Group. ",https://doi.org/10.14279/depositonce-6726.3,,
AS-137,AS-137,"Auditorium Maximum, BRAS ","Auditorium Maximum, BRAS  - AS-137",Auditorium,Auditorium-AS-137,Research Datasets,,,1802,0,No,0,9,1.0.0,datasets,,,,Auditorium Maximum at TU Berlin ,,Benchmark for Room Acoustical Simulation (BRAS) ,"Aspöck, L., Vorländer, M., Brinkmann, F., Ackermann, D., & Weinzierl, S. (2020).
Benchmark for Room Acoustical Simulation (BRAS): Documentation of the database.
RWTH Aachen University, Institute of Technical Acoustics; TU Berlin, Audio Communication Group. ",https://doi.org/10.14279/depositonce-6726.3,,
AS-138,AS-138,"Concert Hall, Huddersfield","Concert Hall, Huddersfield – AS-138",Concert,Concert-AS-138,Research Datasets,,,2227,0,No,0,9,1.0.0,datasets,,,,"Concert hall in Huddersfield, UK",Derived from RIR measurements,360° Binaural Room Impulse Response (BRIR) Database for 6DOF spatial perception research,"Bacila, B. I., & Lee, H. (2019). 360° Binaural Room Impulse Response (BRIR) Database for 6DOF Spatial Perception Research. Presented at the Audio Engineering Society Convention 146, Dublin, e-Brief 513 ",https://doi.org/10.5281/zenodo.2641166,,
AS-139,AS-139,"Living Room, CvO","Living Room, CvO – AS-139",Living-Rm,Living-Rm-AS-139,Research Datasets,,,539,0,Yes,0,9,1.0.0,datasets,,,,Living room laboratory at the CvO university Oldenburg ,,Living room environment,"J. Schütze, C. Kirsch, K. C. Wagener, B. Kollmeierand S. D. Ewert, ‘Living room environment’. Zenodo, Sep. 28, 2021. doi: 10.5281/zenodo.5747753. ",https://doi.org/10.5281/zenodo.5747753,,
AS-140,AS-140,Large Hall,Large Hall – AS-140,Large-Hall,Large-Hall-AS-140,Research Datasets,,,1049,0,Yes,60,9,1.0.0,datasets,,,,Large reverberant empty hall,,Dataset of Room Impulse Responses from Baffled Microphone Arrays and Sound Sources at Three Elevations,"H. Helmholz, ‘Dataset of Room Impulse Responses from Baffled Microphone Arrays and Sound Sources at Three Elevations’. Zenodo, May 15, 2024. doi: 10.5281/zenodo.11199830. ",https://doi.org/10.5281/zenodo.11199830,,
AS-141,AS-141,Lab (Dry),Lab (Dry) – AS-141,Lab-Dry,Lab-Dry-AS-141,Research Datasets,Low Reverberation,,232,0,Yes,0,9,1.0.0,datasets,,,,Acoustically damped laboratory with an additional porous absorber ,,Dataset of Room Impulse Responses from Baffled Microphone Arrays and Sound Sources at Three Elevations,"H. Helmholz, ‘Dataset of Room Impulse Responses from Baffled Microphone Arrays and Sound Sources at Three Elevations’. Zenodo, May 15, 2024. doi: 10.5281/zenodo.11199830. ",https://doi.org/10.5281/zenodo.11199830,,
AS-142,AS-142,Lab (Wet),Lab (Wet) – AS-142,Lab-Wet,Lab-Wet-AS-142,Research Datasets,Low Reverberation,,228,0,Yes,0,9,1.0.0,datasets,,,,Acoustically damped laboratory,,Dataset of Room Impulse Responses from Baffled Microphone Arrays and Sound Sources at Three Elevations,"H. Helmholz, ‘Dataset of Room Impulse Responses from Baffled Microphone Arrays and Sound Sources at Three Elevations’. Zenodo, May 15, 2024. doi: 10.5281/zenodo.11199830. ",https://doi.org/10.5281/zenodo.11199830,,
AS-143,AS-143,"Auditorium, NBI","Auditorium, NBI – AS-143",Auditorium,Auditorium-AS-143,Research Datasets,,,813,0,Yes,0,9,1.0.0,datasets,,,,"Auditorium A, in the Niels Bohr Institute, Copenhagen ",Derived from RIR measurements,Room Impulse Response Dataset: Niels Bohr Institute - Auditorium A,"A. Figueroa-Duran, X. Karakonstantis, S. A. Verburgand E. Fernandez-Grande, ‘Room Impulse Response Dataset: Niels Bohr Institute - Auditorium A’. Zenodo, Nov. 24, 2024. doi: 10.5281/zenodo.14212820. ",https://doi.org/10.5281/zenodo.14212820,,
AS-144,AS-144,"Historic Building, York","Historic Building, York – AS-144",Historic-Rm,Historic-Rm-AS-144,Research Datasets,,,4400,0,No,0,9,1.0.0,datasets,,,,York Minster's Chapter House,,The Acoustic Environment of York Minster's Chapter House,"L. Álvarez-Morales, M. Lopezand Á. Álvarez-Corbacho, ‘The Acoustic Environment of York Minster's Chapter House’. Zenodo, Sep. 21, 2020. doi: 10.5281/zenodo.4040994.",https://doi.org/10.5281/zenodo.4040994,,
AS-145,AS-145,"Theatre, York","Theatre, York – AS-145",Theatre,Theatre-AS-145,openAIR Library,,,744,0,Yes,100,9,1.0.0,datasets,,,,"Theatre@41, York",,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,,
AS-146,AS-146,"Acoustics Lab, Aalto University","Acoustics Lab, Aalto University - AS-146",Ac-Lab,Ac-Lab-AS-146,Research Datasets,,,527,0,Yes,100,9,1.0.0,datasets,,,,"Arni variable acoustics room at the Acoustics Lab, Aalto University, Espoo, Finland - 25% Absorbers",,Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis,"Thomas McKenzie, Leo McCormackand Christoph Hold, ‘Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis’. Zenodo, Mar. 24, 2022. doi: 10.5281/zenodo.6382405.",,,
AS-147,AS-147,"Acoustics Lab, Aalto University","Acoustics Lab, Aalto University - AS-147",Ac-Lab,Ac-Lab-AS-147,Research Datasets,,,792,0,Yes,100,9,1.0.0,datasets,,,,"Arni variable acoustics room at the Acoustics Lab, Aalto University, Espoo, Finland - No Absorbers",,Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis,"Thomas McKenzie, Leo McCormackand Christoph Hold, ‘Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis’. Zenodo, Mar. 24, 2022. doi: 10.5281/zenodo.6382405.",,,
