file_name,name_gui,name_short,name_src,est_rt60,meas_rt60,fade_start,low_rt60,folder,version,gdrive_link,alternative_link,ghub_link,gain,f_crossover,order_crossover,noise_reduce,source_hrtf_dataset,source_hrtf_id,description,notes,source_dataset,citation,citation_link,high_fc,mid_fc,low_fc
reverberation_dataset_office_b,Office B,Office-B,office_b,500,496,600,Yes,est_bin,1.0.1,https://drive.google.com/file/d/14YR5cT8_ekpnZA3755uePWulWzCN97x-/view?usp=drive_link,https://drive.google.com/file/d/1BA8DjFoZRSki9RUrSxujGZNX18pT5R8e/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_office_b.npy,-1.6,125,9,No,max,0,Office at Aalto University campus ,,A dataset of measured spatial room impulse responses for the transition between coupled rooms,"Thomas McKenzie, Sebastian Schlechtand Ville Pulkki, ‘A dataset of measured spatial room impulse responses for the transition between coupled rooms’. Zenodo, Apr. 20, 2023. doi: 10.5281/zenodo.7848561.",https://doi.org/10.5281/zenodo.7848561,No,Yes,No
reverberation_dataset_outdoors_a,Outdoors A,Outdoors-A,outdoors_a,2600,1935,0,No,est_bin,1.0.2,https://drive.google.com/file/d/1HyXeeDXMS4hBeahEMJ7QtE6iVeRrDx2C/view?usp=drive_link,https://drive.google.com/file/d/1B_qszM9LXOmpi7mJYDxIbFFp57xZUgnl/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_outdoors_a.npy,-2.9,110,9,No,max,1,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,No
reverberation_dataset_outdoors_b,Outdoors B,Outdoors-B,outdoors_b,1300,1183,0,Yes,est_bin,1.0.1,https://drive.google.com/file/d/1RrD8JZAhvXjW-JKBW7qsYeA0C1LW5cFI/view?usp=drive_link,https://drive.google.com/file/d/1GuD6GfVhkzVUvKJsJ5cLqcGp2OZhdyfY/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_outdoors_b.npy,-2,100,8,No,max,0,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,No
reverberation_dataset_outdoors_c,Outdoors C,Outdoors-C,outdoors_c,1300,1199,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/10Noof1gFHmJIyoIAFUMweK5k8sP7OWug/view?usp=drive_link,https://drive.google.com/file/d/1qkslZd3NtMvdInwqrF0aerpBAGCfwy7R/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_outdoors_c.npy,-2.1,100,9,Yes,max,1,"Abies Grandis Forest, Wheldrake Wood",,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_recording_room_a,Recording Room,Recording-Rm,recording_room_a,400,284,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1lEQb7cXo9ZmVclDNVKySTBbovKQSrdMF/view?usp=drive_link,https://drive.google.com/file/d/1-OUtk-jXrG7o47BiyvzTQeWTmgO63bSD/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_recording_room_a.npy,-2.1,100,9,No,max,1,Genesis 6 Studio Live Room Drum Set Up,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_seminar_room_a,Seminar Room A,Seminar-Rm-A,seminar_room_a,900,839,1100,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1zKk96T7KPe_Z9m5MCX9s2E3bfMcylLYZ/view?usp=drive_link,https://drive.google.com/file/d/1rTjTuKmO5eQkEmbCjnivYCKGwLcK_N6I/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_seminar_room_a.npy,-2,115,9,No,max,0,Seminar Room at Technische Universität Ilmenau ,,A dataset of measured spatial room impulse responses in different rooms including visualization,"F. Klein, ‘A dataset of measured spatial room impulse responses in different rooms including visualization’. Zenodo, May 16, 2022. doi: 10.5281/zenodo.6541444.",,Yes,No,No
reverberation_dataset_seminar_room_b,Seminar Room B,Seminar-Rm-B,seminar_room_b,750,710,800,Yes,est_bin,1.0.5,https://drive.google.com/file/d/17ZoUXPfypJTqMm7LL1YJW-u4rsWfSutz/view?usp=drive_link,https://drive.google.com/file/d/1oFhBkpBIuqUysMXmOexdkh2gx51B89SC/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_seminar_room_b.npy,-3.1,115,8,No,max,0,"Schiavoni room located at Dipartimento di Elettronica, Informazione e Bioingegneria of Politecnico di Milano",,HOMULA-RIR,"F. Miotello, ‘HOMULA-RIR: A Room Impulse Response Dataset for Teleconferencing and Spatial Audio Applications Acquired Through Higher-Order Microphones and Uniform Linear Microphone Arrays’. Zenodo, Jan. 10, 2024. doi: 10.5281/zenodo.10479726.",,No,No,No
reverberation_dataset_seminar_room_c,Seminar Room C,Seminar-Rm-C,seminar_room_c,700,705,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1kxCkN7O33QbuaEUd0rti_bhgugFEl3aO/view?usp=drive_link,https://drive.google.com/file/d/1p9in2rb7Oy0GAVK1ox7NZGD0oKLhdofY/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_seminar_room_c.npy,-3.1,110,9,No,max,1,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,No
reverberation_dataset_seminar_room_d,Seminar Room D,Seminar-Rm-D,seminar_room_d,700,685,0,Yes,comp_bin,1.0.0,https://drive.google.com/file/d/1qP5fmdX3azzaY3cBvEKeNagnG6GMpU1e/view?usp=drive_link,https://drive.google.com/file/d/1jV_QmK0qePxefIYE5ZZ0tcklovkFU0wQ/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/comp_bin/reverberation_dataset_seminar_room_d.npy,-3.1,130,9,No,max,0,Mid-size lecture room at the Telefunken-building of TU Berlin,,Binaural room impulse responses recorded with KEMAR in a mid-size lecture hall,"H. Wierstorf and M. Geier, ‘Binaural room impulse responses recorded with KEMAR in a mid-size lecture hall’. Zenodo, Oct. 14, 2016. doi: 10.5281/zenodo.160749.",https://doi.org/10.5281/zenodo.160749 ,No,No,No
reverberation_dataset_small_room_a,Small Room A,Small-Rm-A,small_room_a,550,500,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1HSYQUNw0jB9ZAVQpmdRk9aTPgu1r3gen/view?usp=drive_link,https://drive.google.com/file/d/1Lx6utC6nEEeqsxRNEZnyMPwohmIv5YX7/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_small_room_a.npy,-2.3,100,9,No,max,0,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
